,tSNE1,tSNE2,dataset
3737,-54.628536,8.634442,China1
3738,16.976755,-25.202536,China1
3739,28.927137,63.568714,China1
3740,31.684307,3.1379848,China1
3741,19.13014,13.061065,China1
3742,-0.63531536,10.179031,China1
3743,16.110048,57.367485,China1
3744,-58.40521,-6.8704495,China1
3745,-42.936474,6.8693438,China1
3746,-37.26207,5.353483,China1
3747,-18.809729,-77.26696,China1
3748,-31.407316,44.087223,China1
3749,-11.427599,-30.70936,China1
3750,6.0259805,26.99834,China1
3751,19.942173,-2.1642447,China1
3752,53.840843,5.1244755,China1
3753,46.5848,56.373924,China1
3754,53.30411,58.12355,China1
3755,-21.901102,-53.377804,China1
3756,-43.761337,-5.4755588,China1
3757,-12.714255,42.597713,China1
3758,-13.916879,65.78213,China1
3759,20.771908,-43.09374,China1
3760,-39.165165,-19.657125,China1
3761,-11.114291,58.778378,China1
3762,11.439053,38.05034,China1
3763,54.174816,51.906815,China1
3764,21.261337,-23.99049,China1
3765,26.7198,45.90011,China1
3766,-13.380477,49.26093,China1
3767,7.8056216,-17.186113,China1
3768,-50.71624,-17.087378,China1
3769,-32.05449,14.339943,China1
3770,19.905956,12.910853,China1
3771,2.3892243,71.48338,China1
3772,1.9734765,-18.690638,China1
3773,25.749018,25.70185,China1
3774,-25.044003,42.11129,China1
3775,8.769098,20.812279,China1
3776,-15.158335,-37.064835,China1
3777,1.6263732,-45.440132,China1
3778,11.656569,51.9659,China1
3779,30.862444,2.578247,China1
3780,-6.2350535,-42.47234,China1
3781,46.588165,53.5726,China1
3782,-0.57281023,-34.47168,China1
3783,6.732834,-27.37751,China1
3784,-45.025684,-5.153287,China1
3785,-36.7949,21.348646,China1
3786,-31.562422,-14.283524,China1
3787,-18.462725,-33.24418,China1
3788,-19.614054,16.81313,China1
3789,-2.3481553,37.588207,China1
3790,1.237808,-1.4887248,China1
3791,-17.96372,-70.23877,China1
3792,3.4697776,-69.00534,China1
3793,41.043373,-19.521662,China1
3794,1.3591326,-56.097504,China1
3795,-19.965057,61.010807,China1
3796,-32.08185,-68.664024,China1
3797,-35.11176,-25.955875,China1
3798,-32.872322,34.031754,China1
3799,-34.056316,-72.57045,China1
3800,26.937328,-5.498841,China1
3801,-52.978897,6.87871,China1
3802,-12.944537,-53.771904,China1
3803,-0.63047266,-56.914272,China1
3804,-36.214195,-14.9047365,China1
3805,-2.9337645,44.356018,China1
3806,52.623344,9.660003,China1
3807,-16.41651,-4.5032167,China1
3808,-40.993744,52.107567,China1
3809,7.0216365,-18.335539,China1
3810,-1.931648,42.552086,China1
3811,32.055927,-46.521915,China1
3812,-33.338623,-73.07326,China1
3813,19.526587,-19.62414,China1
3814,-12.782346,-41.23283,China1
3815,-57.131687,-13.856739,China1
3816,-11.212632,40.779247,China1
3817,-56.785305,-13.485993,China1
3818,43.264393,-24.526304,China1
