,tSNE1,tSNE2,dataset
2912,-35.648296,-28.93233,Germany2
2913,-26.200832,-24.254665,Germany2
2914,11.631726,46.61221,Germany2
2915,34.562016,-55.924076,Germany2
2916,-26.970856,-57.523365,Germany2
2917,3.054745,40.86026,Germany2
2918,-54.85629,-4.5669427,Germany2
2919,-28.715141,-43.626175,Germany2
2920,-34.93117,-20.055597,Germany2
2921,-46.213375,12.804144,Germany2
2922,-13.613895,65.7197,Germany2
2923,-3.349358,-60.716164,Germany2
2924,-14.090962,-67.02287,Germany2
2925,-40.002167,44.60526,Germany2
2926,-56.72207,4.226742,Germany2
2927,7.2052946,-29.412485,Germany2
2928,3.332495,-32.04788,Germany2
2929,-39.058594,-64.86452,Germany2
2930,-11.395648,29.268076,Germany2
2931,14.3379345,-2.996066,Germany2
2932,-42.702824,-23.21032,Germany2
2933,-20.643192,-22.083426,Germany2
2934,-41.06089,-11.132205,Germany2
2935,16.001036,-27.371801,Germany2
2936,27.27263,-58.76862,Germany2
2937,22.944387,-61.550472,Germany2
2938,-56.45434,-11.905466,Germany2
2939,-6.860567,76.83307,Germany2
2940,24.48086,-40.660324,Germany2
2941,7.8328767,51.73929,Germany2
2942,-5.4290123,-73.155655,Germany2
2943,23.489273,-42.853264,Germany2
2944,3.0540788,-69.186714,Germany2
2945,-31.94269,-67.563156,Germany2
2946,0.9630272,-50.03072,Germany2
2947,-59.85418,2.1848938,Germany2
2948,-4.532694,-46.56034,Germany2
2949,-18.282757,-17.584824,Germany2
2950,0.12360312,-2.3979974,Germany2
2951,15.630535,-51.57867,Germany2
2952,-3.3163416,-74.78365,Germany2
2953,17.613417,-17.012476,Germany2
2954,-1.4529153,-74.01262,Germany2
2955,47.442825,59.941883,Germany2
2956,-2.7774186,-36.047512,Germany2
2957,-40.69966,7.949253,Germany2
2958,-27.669384,9.7491045,Germany2
2959,6.5121326,6.472913,Germany2
2960,-6.484262,-48.220284,Germany2
2961,8.307162,-8.9712515,Germany2
2962,2.0713053,-19.147564,Germany2
2963,-26.997826,-65.53383,Germany2
2964,-15.855249,-27.056461,Germany2
2965,-37.28608,-66.59199,Germany2
2966,21.090015,-23.665434,Germany2
2967,32.77021,-44.33421,Germany2
2968,5.4931126,72.52047,Germany2
2969,-0.97196877,-23.419977,Germany2
2970,50.812057,61.849476,Germany2
2971,-25.980463,-24.690182,Germany2
2972,8.215455,15.099397,Germany2
2973,16.979092,-7.184874,Germany2
2974,41.63164,-16.596708,Germany2
2975,-52.669094,-14.222632,Germany2
2976,-9.8624735,66.593025,Germany2
2977,-28.501574,8.234585,Germany2
2978,-31.431498,-61.34485,Germany2
2979,6.9039545,-8.998154,Germany2
2980,-19.81484,-56.418465,Germany2
2981,-36.27583,2.7863235,Germany2
2982,16.76898,-44.76958,Germany2
2983,-3.897966,74.556526,Germany2
2984,-3.897999,74.55649,Germany2
2985,62.786114,38.33236,Germany2
2986,62.786114,38.33236,Germany2
2987,-7.5397825,-50.030457,Germany2
2988,3.4975193,60.27853,Germany2
2989,21.860378,72.51462,Germany2
2990,-33.034184,-4.0468116,Germany2
2991,-60.67369,2.6057405,Germany2
2992,36.296345,-51.219166,Germany2
2993,-17.403618,-68.05545,Germany2
2994,13.587058,57.80975,Germany2
2995,-29.486637,-72.041275,Germany2
2996,9.367693,-35.82422,Germany2
2997,-40.132294,7.662121,Germany2
2998,-4.915368,13.313559,Germany2
2999,29.611286,44.5417,Germany2
3000,-5.5093427,46.856228,Germany2
3001,-22.484106,-52.8983,Germany2
3002,-22.355171,-27.629768,Germany2
3003,-19.757343,-6.095294,Germany2
3004,30.238829,-61.241055,Germany2
3005,-19.03658,-74.73864,Germany2
3006,28.891798,-49.12738,Germany2
3007,6.1031156,7.346976,Germany2
3008,-1.6171575,-62.298557,Germany2
3009,53.58244,10.6350975,Germany2
3010,16.211105,-41.684113,Germany2
3011,22.549555,-24.717726,Germany2
3012,-6.71912,-72.65088,Germany2
3013,-39.250893,-14.976055,Germany2
3014,26.182999,67.46793,Germany2
3015,-1.3739742,68.1438,Germany2
3016,-52.9648,-14.239714,Germany2
3017,20.1326,73.129166,Germany2
3018,13.66974,-61.283333,Germany2
3019,-51.189568,11.103233,Germany2
3020,-23.789684,-35.367504,Germany2
3021,-45.124966,-22.561375,Germany2
3022,-26.41578,-63.996914,Germany2
3023,-31.616175,10.013638,Germany2
3024,-5.5460715,48.193447,Germany2
3025,-38.785362,2.0288584,Germany2
3026,-30.737604,-74.073265,Germany2
3027,28.8141,48.065678,Germany2
3028,41.703777,-24.598635,Germany2
3029,9.073894,-35.432766,Germany2
3030,2.0762405,-70.88218,Germany2
3031,-8.630428,16.168917,Germany2
