,tSNE1,tSNE2,dataset
2414,-40.305298,-30.577896,Italy
2415,-14.134885,-39.39461,Italy
2416,-4.48853,65.75023,Italy
2417,-9.653735,54.84401,Italy
2418,47.251427,56.651573,Italy
2419,-8.450396,67.88494,Italy
2420,18.295326,-48.260204,Italy
2421,-41.187843,28.843704,Italy
2422,-9.319371,-22.612898,Italy
2423,-29.226173,51.26883,Italy
2424,-2.9106905,9.60111,Italy
2425,-0.49098742,65.326294,Italy
2426,-17.083403,-19.179186,Italy
2427,9.010802,58.84107,Italy
2428,-3.0993142,73.17142,Italy
2429,7.4107046,-65.08118,Italy
2430,2.767247,-1.0646778,Italy
2431,16.122675,54.8786,Italy
2432,-15.0315895,63.641727,Italy
2433,15.645666,58.191467,Italy
2434,-20.158419,24.405807,Italy
2435,2.3878164,27.526438,Italy
2436,8.491517,-64.77255,Italy
2437,-8.021555,39.0046,Italy
2438,-34.28645,38.545696,Italy
2439,23.440355,-59.46211,Italy
2440,-29.666527,11.113741,Italy
2441,-10.796734,39.441566,Italy
2442,-5.4033537,-41.594902,Italy
2443,9.341149,1.0622085,Italy
2444,-42.7057,-28.573496,Italy
2445,-30.24504,16.564274,Italy
2446,-2.3039832,25.721724,Italy
2447,-3.6664824,56.739487,Italy
2448,-55.264374,-11.674771,Italy
2449,-36.004314,-49.744396,Italy
2450,15.2709675,69.22978,Italy
2451,17.61671,78.983215,Italy
2452,24.901682,45.87288,Italy
2453,32.111496,69.20935,Italy
2454,-21.545324,-70.894775,Italy
2455,-7.5122476,75.909935,Italy
2456,-49.88288,12.775973,Italy
2457,42.490826,61.377155,Italy
2458,-27.669325,7.4168367,Italy
2459,-7.5219316,-8.575454,Italy
2460,33.24646,65.81879,Italy
2461,-10.955478,-64.75598,Italy
2462,-2.9225025,-61.096584,Italy
2463,30.459852,64.76843,Italy
2464,17.725468,77.0374,Italy
2465,-24.082443,-52.364307,Italy
2466,49.750175,49.66889,Italy
2467,-56.28598,-9.847304,Italy
2468,41.445602,-16.345427,Italy
2469,14.482731,18.532806,Italy
2470,20.381092,-40.904232,Italy
2471,-53.660507,-11.020534,Italy
2472,7.205519,46.42535,Italy
2473,-55.42875,6.724079,Italy
2474,-4.5510445,57.356888,Italy
2475,45.291782,-16.477388,Italy
2476,34.317974,-56.690147,Italy
2477,-24.33668,33.30661,Italy
2478,19.57069,-57.36241,Italy
2479,-11.564089,12.858331,Italy
2480,-25.853672,49.81835,Italy
2481,17.082476,-65.341576,Italy
2482,-25.432226,44.201294,Italy
2483,-28.165865,16.265896,Italy
2484,-2.374196,73.06113,Italy
2485,32.416756,67.63901,Italy
2486,-8.814673,14.93435,Italy
2487,-38.796246,2.5020356,Italy
2488,-13.030485,-60.605316,Italy
2489,-28.367271,49.92722,Italy
2490,-12.908717,49.639637,Italy
2491,-14.897427,39.393246,Italy
2492,-10.229588,-67.739426,Italy
2493,-44.471806,0.3247012,Italy
2494,-47.479176,-20.39838,Italy
2495,-53.51702,15.505135,Italy
2496,-27.19814,13.956851,Italy
2497,-17.372433,-16.499125,Italy
2498,-12.318897,-40.87665,Italy
2499,25.345068,-27.655357,Italy
2500,-19.948969,-69.26688,Italy
2501,52.990444,10.763274,Italy
2502,14.670598,75.74085,Italy
2503,38.763435,61.326443,Italy
2504,-11.226262,29.059149,Italy
2505,-20.961702,-55.555225,Italy
2506,10.023386,4.04603,Italy
2507,-31.868774,50.721977,Italy
2508,-12.6096945,43.746517,Italy
2509,31.365673,66.07715,Italy
2510,53.958046,59.360867,Italy
2511,-9.856096,29.259195,Italy
2512,-28.026157,32.040207,Italy
2513,-35.00756,-61.32701,Italy
2514,19.731085,-50.08552,Italy
2515,19.7936,-48.514683,Italy
2516,7.2089167,56.297817,Italy
2517,-36.979824,-59.020313,Italy
2518,-55.193592,-20.837793,Italy
2519,-54.12082,6.7011967,Italy
2520,15.834307,77.60399,Italy
