,tSNE1,tSNE2,dataset
4625,-20.826315,-38.082607,Korea
4626,20.04822,-49.906334,Korea
4627,-53.666256,-19.88339,Korea
4628,-30.33204,-43.90413,Korea
4629,-33.25349,-50.284786,Korea
4630,-43.30762,-28.369926,Korea
4631,16.222076,11.646926,Korea
4632,39.21433,-42.967533,Korea
4633,-19.272133,-72.12123,Korea
4634,18.818487,-56.032322,Korea
4635,-21.368286,0.07540913,Korea
4636,-35.966034,10.90052,Korea
4637,-26.102793,-42.10924,Korea
4638,-22.939312,-27.88512,Korea
4639,17.921734,-19.011063,Korea
4640,40.740604,-3.5063708,Korea
4641,26.313154,-52.879627,Korea
4642,-31.776625,-74.24484,Korea
4643,26.669237,-62.219624,Korea
4644,-17.31663,-10.419822,Korea
4645,-10.55492,-20.614853,Korea
4646,-9.009008,31.35487,Korea
4647,-22.251,-55.06344,Korea
4648,32.15189,-52.516174,Korea
4649,-44.99195,9.098733,Korea
4650,28.81354,66.74679,Korea
4651,-8.419367,-54.345375,Korea
4652,34.476883,-57.545937,Korea
4653,-39.02935,-15.51472,Korea
4654,58.08458,9.470512,Korea
4655,29.304144,-54.403725,Korea
4656,-12.698321,-29.987413,Korea
4657,34.210373,-14.78408,Korea
4658,-0.24889347,28.359858,Korea
4659,-18.298805,3.5524254,Korea
4660,-27.660751,-56.599995,Korea
4661,0.17491563,1.9794133,Korea
4662,-30.610222,-43.370583,Korea
4663,-7.3355517,-65.65095,Korea
4664,-10.531363,27.425392,Korea
4665,40.102734,-14.288005,Korea
4666,41.75495,-15.127711,Korea
4667,-18.915255,2.610642,Korea
4668,-9.8852215,12.795072,Korea
4669,-33.646618,-72.87707,Korea
4670,22.883707,68.70546,Korea
4671,-22.962416,2.8882434,Korea
4672,-19.93868,-60.849785,Korea
4673,-10.074671,-10.273269,Korea
4674,-8.920976,70.98894,Korea
4675,-28.216969,-67.183975,Korea
4676,33.45488,-13.1496935,Korea
4677,-3.6191432,-47.486828,Korea
4678,-29.535048,14.08432,Korea
4679,3.4970298,-52.54346,Korea
4680,-13.779204,-72.3291,Korea
4681,-46.898952,-11.856222,Korea
4682,50.150574,60.54368,Korea
4683,10.258491,-28.339203,Korea
4684,34.536312,-17.492283,Korea
4685,13.231013,-63.148476,Korea
4686,-10.223468,-63.93557,Korea
4687,-28.01811,-41.5684,Korea
4688,-41.155853,-15.565204,Korea
4689,-36.255642,-50.16432,Korea
4690,-27.17543,-67.539536,Korea
4691,-6.584975,-69.22874,Korea
4692,-32.32883,-59.915768,Korea
4693,-10.376239,37.12003,Korea
4694,-0.22993492,-2.262413,Korea
4695,-10.999391,-64.18224,Korea
4696,-1.6691734,74.95399,Korea
4697,27.439812,-55.111286,Korea
4698,-21.927612,-68.44896,Korea
4699,-31.697842,-70.95599,Korea
4700,-31.456383,-73.39004,Korea
4701,37.72846,-23.043224,Korea
4702,23.2083,-63.73973,Korea
4703,-42.585514,9.641401,Korea
4704,-17.738558,-9.437576,Korea
4705,3.148871,-19.709309,Korea
4706,33.121056,-46.86398,Korea
4707,23.661537,-40.9378,Korea
4708,-47.11005,-17.147144,Korea
4709,-7.8465624,-65.1676,Korea
4710,31.227894,-48.01002,Korea
4711,39.18182,-26.042994,Korea
4712,-24.835464,-2.5265653,Korea
4713,-51.17855,-22.666515,Korea
4714,-13.296423,-49.788982,Korea
4715,-54.209614,-17.863031,Korea
4716,-23.963375,-18.737713,Korea
4717,8.994664,-29.69026,Korea
4718,-43.17682,-2.052579,Korea
4719,-44.337757,-22.827158,Korea
4720,-0.95840144,11.076808,Korea
4721,33.39511,-56.0548,Korea
4722,3.7790916,-18.135805,Korea
4723,-13.943025,-50.29423,Korea
4724,18.930128,-58.3318,Korea
4725,8.970777,-68.804634,Korea
4726,-11.366617,37.78417,Korea
4727,-27.01347,-62.960144,Korea
4728,-23.68843,-51.751778,Korea
4729,-2.4137056,72.38704,Korea
4730,-3.9854205,-31.588701,Korea
4731,4.8162017,-15.146614,Korea
4732,-26.88725,-59.004787,Korea
4733,3.4635446,36.783844,Korea
4734,-12.647811,-62.36511,Korea
4735,-45.518066,13.770933,Korea
4736,-21.584421,-75.69308,Korea
4737,34.10341,11.716573,Korea
4738,-30.006907,-43.93412,Korea
4739,-21.04446,-70.329735,Korea
4740,28.054708,-53.455338,Korea
4741,3.061186,41.82477,Korea
4742,-31.404367,44.17222,Korea
4743,3.2191203,12.75917,Korea
4744,-9.404562,-23.996553,Korea
4745,-12.752664,-41.408142,Korea
4746,-15.749725,64.138756,Korea
4747,-7.3287234,-46.76933,Korea
4748,-34.799763,43.58898,Korea
4749,-18.956331,-59.094025,Korea
4750,-26.8188,-9.514277,Korea
4751,-31.876823,-58.970707,Korea
4752,-6.819993,58.640934,Korea
4753,-13.243591,17.010895,Korea
4754,29.895563,67.9623,Korea
4755,-4.2938714,-73.09812,Korea
4756,-7.8280487,74.28144,Korea
4757,-22.335815,-1.0297325,Korea
4758,-44.878647,-23.287241,Korea
4759,-31.76962,50.94653,Korea
4760,-27.202845,-59.818485,Korea
4761,-22.129053,-68.75289,Korea
4762,-35.64312,-14.46308,Korea
4763,-32.85035,-68.23084,Korea
4764,-23.501627,-39.81414,Korea
4765,42.476448,-22.72332,Korea
4766,-20.924171,-17.901648,Korea
4767,-27.91314,-15.4368925,Korea
4768,15.233707,-25.099854,Korea
4769,-34.979282,-60.09496,Korea
4770,-16.357843,5.1223507,Korea
4771,-19.414299,-26.279675,Korea
4772,-32.58421,-51.1229,Korea
4773,-16.492619,-33.45928,Korea
4774,-57.009705,-7.214008,Korea
4775,45.726482,0.67695105,Korea
4776,1.9510628,-32.716087,Korea
4777,16.016321,-43.72555,Korea
4778,-26.088146,-39.617294,Korea
4779,-20.37443,24.044985,Korea
4780,-15.707716,-65.404465,Korea
4781,13.495475,-63.85905,Korea
4782,30.962273,67.67051,Korea
4783,2.2340274,-34.155285,Korea
4784,-30.797268,26.298164,Korea
4785,-47.887424,-21.931786,Korea
4786,29.230185,-57.246822,Korea
4787,-30.77325,-43.87842,Korea
4788,5.6098976,-3.6340544,Korea
4789,-19.099545,-32.33548,Korea
4790,-7.076259,-45.756424,Korea
4791,8.603159,-62.76435,Korea
4792,-21.070065,-60.318207,Korea
4793,5.9563704,-11.847371,Korea
4794,0.9282736,-33.394604,Korea
4795,-16.924257,-16.30861,Korea
4796,-6.9346604,39.42694,Korea
4797,21.900518,-53.34486,Korea
4798,-7.0468683,-73.34178,Korea
4799,-3.1534157,-10.128515,Korea
4800,-56.058376,-4.2316494,Korea
4801,2.9638464,-45.96596,Korea
4802,-40.555817,-13.323544,Korea
4803,-39.020855,-17.128223,Korea
4804,-15.705038,-11.404459,Korea
4805,-20.784288,61.27323,Korea
4806,-20.284609,-39.09838,Korea
4807,-33.8814,-72.13364,Korea
4808,-33.558342,-55.556484,Korea
4809,-16.470194,-28.75653,Korea
4810,48.05817,-8.102651,Korea
4811,-23.428007,-36.381374,Korea
4812,-10.026915,22.726494,Korea
4813,7.171308,17.818863,Korea
4814,-8.071895,-36.932034,Korea
4815,32.69586,-27.996971,Korea
4816,36.135017,-19.756975,Korea
4817,47.048187,-11.977445,Korea
4818,19.672499,-45.18452,Korea
4819,20.219166,66.52395,Korea
4820,-31.01118,13.058938,Korea
4821,34.58127,-18.337023,Korea
4822,25.493587,-43.641163,Korea
4823,-14.659697,-38.785854,Korea
4824,-21.720245,-71.67905,Korea
4825,-22.574661,31.415098,Korea
4826,-4.310506,64.035545,Korea
4827,-15.914983,40.072327,Korea
4828,-27.472904,48.33262,Korea
4829,-41.490303,19.715124,Korea
4830,-7.7997503,21.723547,Korea
4831,-23.6598,-18.557283,Korea
4832,-9.746837,29.964355,Korea
4833,-26.830427,-9.213624,Korea
4834,12.873143,7.450943,Korea
4835,-7.6359205,22.00302,Korea
4836,-13.777458,-48.003227,Korea
4837,14.667156,-64.861015,Korea
4838,10.026984,-68.20501,Korea
4839,49.51463,8.308961,Korea
4840,-1.4392515,75.898796,Korea
4841,8.457584,-70.00869,Korea
4842,18.048388,-63.63999,Korea
4843,-3.620599,-75.06136,Korea
4844,-23.9234,-67.36309,Korea
4845,47.992226,-7.421791,Korea
4846,-24.038836,33.517185,Korea
4847,21.156195,-54.12866,Korea
4848,8.252948,-45.570927,Korea
4849,30.966036,-62.026207,Korea
4850,-32.842815,-13.829513,Korea
4851,-41.91032,-4.450794,Korea
4852,49.25608,-8.13976,Korea
4853,13.193616,59.237354,Korea
4854,18.775557,-63.38727,Korea
4855,8.803367,76.588875,Korea
4856,-18.092209,-6.008523,Korea
4857,34.99313,-27.188662,Korea
4858,-6.9966245,-68.52043,Korea
4859,-7.0635586,-71.36844,Korea
4860,-4.8623996,-4.32901,Korea
4861,-13.6738615,-72.88788,Korea
4862,-29.313194,46.114845,Korea
4863,-32.228653,-20.59746,Korea
4864,-18.424112,13.115831,Korea
4865,46.306877,-14.945257,Korea
4866,-26.348934,42.36888,Korea
4867,8.2281275,-18.700853,Korea
4868,-3.942475,-75.048004,Korea
4869,28.824257,7.507065,Korea
4870,-17.668894,-71.73489,Korea
4871,-6.571334,-67.270645,Korea
4872,-41.38116,-15.453791,Korea
4873,-15.712618,-4.876932,Korea
4874,33.198586,-51.783558,Korea
4875,-22.623522,-37.117393,Korea
4876,-11.491132,-53.316116,Korea
4877,-19.071093,-76.48782,Korea
4878,-31.887783,-8.668409,Korea
4879,58.457104,14.307926,Korea
4880,39.78228,-43.58132,Korea
4881,-44.194553,-23.466091,Korea
4882,35.185696,-60.15177,Korea
4883,-9.536683,43.993626,Korea
4884,-20.108662,-68.57764,Korea
4885,-32.75684,-74.22367,Korea
4886,-3.0935411,-38.263332,Korea
4887,-38.28312,45.752247,Korea
4888,-24.452126,-51.59684,Korea
4889,-26.759249,-9.261256,Korea
4890,-9.223683,-24.99375,Korea
4891,-8.238361,-41.540707,Korea
4892,-29.475334,21.841312,Korea
4893,-31.622252,-19.522572,Korea
4894,-9.553911,30.67527,Korea
4895,20.803202,-62.833286,Korea
4896,-58.3727,-13.359053,Korea
4897,17.43872,-65.47532,Korea
4898,4.226474,-4.2170153,Korea
4899,25.910982,-41.648483,Korea
4900,-51.55745,-15.307421,Korea
4901,-30.892223,-70.69992,Korea
4902,16.52982,-21.154114,Korea
4903,29.192514,-47.84737,Korea
4904,-9.118427,65.80255,Korea
4905,3.4576917,-43.784466,Korea
4906,8.514254,-61.72145,Korea
4907,32.7977,-62.14282,Korea
4908,-35.038433,-29.38826,Korea
4909,-7.5120926,-66.42641,Korea
4910,19.926394,-62.606205,Korea
4911,-49.72873,13.778881,Korea
4912,33.710907,10.601487,Korea
4913,-9.378158,24.839125,Korea
4914,0.8565728,13.202533,Korea
4915,42.49474,7.070946,Korea
4916,14.715602,-23.747528,Korea
4917,-34.097527,-53.414337,Korea
4918,-27.919758,-71.35555,Korea
4919,-17.725494,-76.12656,Korea
4920,32.19566,-62.437115,Korea
4921,-26.554043,-42.174026,Korea
4922,-24.795998,-26.77755,Korea
4923,20.608664,-43.988647,Korea
4924,-33.29655,-73.30953,Korea
4925,-1.8194416,74.33512,Korea
4926,21.152435,80.66015,Korea
4927,-1.9992694,-37.88959,Korea
4928,-34.219227,-54.93035,Korea
4929,-43.250515,39.810722,Korea
4930,-11.1918335,12.373751,Korea
4931,-25.2146,-39.641563,Korea
4932,-55.02055,-21.967054,Korea
4933,1.1365528,-71.91372,Korea
4934,-6.3908987,-75.366806,Korea
4935,-29.62643,46.32018,Korea
4936,-35.015583,-50.963226,Korea
4937,-8.910147,68.17878,Korea
4938,7.329827,-40.094345,Korea
4939,-38.01268,28.093775,Korea
4940,6.842427,41.206856,Korea
4941,-39.86157,-20.647203,Korea
