,tSNE1,tSNE2,dataset
774,-1.4110314,53.688217,Spain
775,6.405437,-38.964428,Spain
776,-12.802332,-50.76623,Spain
777,-0.97749877,7.943711,Spain
778,26.272993,-55.877674,Spain
779,-3.3754926,-70.4771,Spain
780,21.250278,-26.499262,Spain
781,25.722172,-63.73089,Spain
782,-56.345062,-14.013041,Spain
783,-25.688515,-41.69546,Spain
784,-1.9474219,71.37993,Spain
785,-31.36267,-6.0239277,Spain
786,8.174311,-64.373344,Spain
787,-21.444334,-19.02497,Spain
788,33.24143,68.38095,Spain
789,-4.088507,-34.68643,Spain
790,-20.282967,25.963041,Spain
791,-16.467764,3.499426,Spain
792,8.691649,60.391785,Spain
793,-7.701321,28.103064,Spain
794,32.027996,-51.1595,Spain
795,7.4949756,42.52122,Spain
796,21.452574,-27.150703,Spain
797,19.246918,28.047035,Spain
798,-8.7630205,71.68987,Spain
799,-43.72535,-25.489315,Spain
800,-42.955086,-25.854948,Spain
801,-36.37779,43.169353,Spain
802,-42.056293,-6.3256817,Spain
803,-7.4852347,67.56367,Spain
804,-39.86473,1.4369401,Spain
805,19.157066,76.314804,Spain
806,-26.503328,42.01333,Spain
807,-30.96877,45.968704,Spain
808,-32.698338,28.24906,Spain
809,19.386642,74.627266,Spain
810,-29.233427,-10.77297,Spain
811,-17.719284,-30.1431,Spain
812,-4.193622,-44.71114,Spain
813,-26.667732,-14.571181,Spain
814,-27.596134,27.520845,Spain
815,-28.823511,8.189505,Spain
816,-5.7173905,-38.855297,Spain
817,-27.792133,8.013883,Spain
818,-18.915432,9.601752,Spain
819,-26.909996,9.973826,Spain
820,-11.422521,48.113358,Spain
821,-16.274817,1.8463492,Spain
822,-4.441205,45.918736,Spain
823,46.612823,58.109726,Spain
824,8.389652,59.334,Spain
825,-7.2882295,26.289787,Spain
826,-3.318068,9.612538,Spain
827,17.27221,-31.39025,Spain
828,4.8723493,39.28829,Spain
829,3.4943154,13.089941,Spain
830,12.553395,-2.2323365,Spain
831,46.510014,56.894333,Spain
832,6.9557686,46.102974,Spain
833,6.775357,46.10781,Spain
834,3.59659,42.45981,Spain
835,19.524286,53.13266,Spain
836,7.22336,17.199245,Spain
837,10.239646,2.1543605,Spain
838,25.551304,63.864975,Spain
839,-41.361816,32.686375,Spain
840,17.58289,76.04744,Spain
841,51.305893,58.127216,Spain
842,56.63895,41.735424,Spain
843,34.381443,67.67673,Spain
844,56.501266,49.673122,Spain
845,40.695732,56.71558,Spain
846,59.107143,47.678493,Spain
847,5.7108207,56.82164,Spain
848,4.4133577,25.290707,Spain
849,41.187588,59.985035,Spain
850,4.9245157,25.334072,Spain
851,52.7407,52.001045,Spain
852,56.322636,42.701347,Spain
853,62.913273,37.714024,Spain
854,58.26223,14.5232315,Spain
855,64.492065,15.012243,Spain
856,64.165474,15.013548,Spain
857,52.048546,15.862016,Spain
858,65.01698,15.563276,Spain
859,65.50449,14.794289,Spain
860,49.279728,45.971725,Spain
861,65.6781,14.6921835,Spain
862,49.276237,13.352481,Spain
863,62.96491,37.442917,Spain
864,62.814995,38.207497,Spain
865,64.52875,15.0028,Spain
866,46.586266,49.439484,Spain
867,64.79527,15.151703,Spain
868,66.90091,13.855896,Spain
869,-1.8189098,-16.757214,Spain
870,4.5654197,-71.479225,Spain
871,-8.447896,-54.376675,Spain
872,-25.237204,-51.957493,Spain
873,26.649044,-36.279808,Spain
874,-12.00782,12.026013,Spain
875,-19.30674,-59.5498,Spain
876,-42.381264,-15.610495,Spain
877,-35.343193,-64.696495,Spain
878,0.90576875,18.738506,Spain
879,-40.97382,32.688858,Spain
880,17.206133,-21.499166,Spain
881,-21.172604,1.0226943,Spain
882,8.842843,11.238911,Spain
883,17.324648,23.78703,Spain
884,-44.936237,1.28762,Spain
885,-10.601917,38.84436,Spain
886,15.619697,52.71029,Spain
887,9.457074,34.26946,Spain
888,13.234732,48.03715,Spain
889,-10.190276,45.88368,Spain
890,7.319194,-43.244976,Spain
891,50.48182,56.181282,Spain
892,-7.8950825,-10.10415,Spain
893,1.6031702,-13.828973,Spain
894,14.851163,-10.70001,Spain
895,19.399794,80.84697,Spain
896,16.400244,76.25657,Spain
897,-54.30401,-7.4555173,Spain
898,48.53901,15.808062,Spain
899,53.14221,4.2649894,Spain
900,48.220856,-7.0122886,Spain
901,39.2653,-0.42820632,Spain
902,41.914654,-13.157203,Spain
903,32.80135,0.06583275,Spain
904,0.36699232,-57.48654,Spain
905,41.021767,-14.340106,Spain
906,16.897398,-5.4573755,Spain
907,33.88637,-17.357695,Spain
908,15.855285,-7.7933164,Spain
909,15.43759,-5.558057,Spain
910,14.989701,-1.3851129,Spain
911,34.095253,-27.5662,Spain
912,42.51448,-24.909576,Spain
913,-32.318825,-51.2317,Spain
914,33.920765,-60.48426,Spain
915,35.44201,-28.812016,Spain
916,25.696087,-17.603252,Spain
917,-30.64873,-71.190414,Spain
918,9.874247,-63.672955,Spain
919,-43.123837,-2.1695032,Spain
920,25.646267,-44.882523,Spain
921,-30.668781,-67.93317,Spain
922,10.052339,-64.87065,Spain
923,9.344692,-32.47513,Spain
924,19.166862,-47.896477,Spain
925,-16.868986,-15.094382,Spain
926,-4.72905,-71.717125,Spain
927,5.2027035,-42.252075,Spain
928,30.538855,-47.098614,Spain
929,-12.986241,-49.34879,Spain
930,-13.40792,-63.785984,Spain
931,26.496962,-20.932789,Spain
932,-20.206312,-18.21955,Spain
933,9.757913,-34.02866,Spain
934,13.023078,-33.257584,Spain
935,-11.37089,-63.29941,Spain
936,-4.815325,-42.505386,Spain
937,-7.53481,-18.266048,Spain
938,2.092845,-75.92235,Spain
939,22.50036,-47.343307,Spain
940,29.224066,-51.187294,Spain
941,16.668205,-17.736189,Spain
942,-51.72121,-23.597275,Spain
943,-4.1063557,-41.385334,Spain
944,-43.269104,50.612507,Spain
945,22.9832,-22.670504,Spain
946,32.971313,-40.55645,Spain
947,15.375704,-29.805416,Spain
948,-5.4975243,-46.347286,Spain
949,28.739336,-36.4099,Spain
950,-2.923271,-36.092518,Spain
951,17.136436,-44.68029,Spain
952,17.71457,-23.713112,Spain
953,16.531454,-28.044945,Spain
954,-14.5641165,-49.973442,Spain
955,-2.8651195,-75.779076,Spain
956,-10.2688055,-25.053652,Spain
957,15.051443,-28.303627,Spain
958,33.359406,-52.854206,Spain
959,-41.579983,-15.579187,Spain
960,25.15384,-39.852684,Spain
961,1.044915,-78.969185,Spain
962,28.328438,-37.41857,Spain
963,26.514225,-22.681547,Spain
964,0.068360224,18.783394,Spain
965,3.1526377,43.104336,Spain
966,-25.349043,-0.13682185,Spain
967,61.405205,14.098747,Spain
968,-53.549698,-10.497338,Spain
969,-4.3820305,47.019157,Spain
970,-19.494646,24.189455,Spain
971,-1.7938255,-16.166037,Spain
972,8.773725,50.87063,Spain
973,-4.521905,62.773155,Spain
974,-8.949535,17.810318,Spain
975,19.778807,76.19381,Spain
976,3.7405217,57.952053,Spain
977,18.129578,62.336613,Spain
978,-5.9658003,64.188156,Spain
979,33.369785,3.912889,Spain
980,-15.783769,45.075474,Spain
981,1.1655955,42.71037,Spain
982,21.069567,66.435135,Spain
983,-0.8564321,32.441006,Spain
984,-14.646529,-2.1850371,Spain
985,-24.70219,39.12682,Spain
986,1.2082059,43.30803,Spain
987,-29.731276,6.414203,Spain
988,-30.92061,13.686786,Spain
989,-41.24877,41.509693,Spain
990,-19.786726,44.18608,Spain
991,-7.6608415,75.71947,Spain
992,-2.0848985,71.867615,Spain
993,-28.138147,-2.4750087,Spain
994,-16.488472,11.601916,Spain
995,-8.458586,28.195642,Spain
996,0.106101066,62.09753,Spain
997,43.948624,9.343694,Spain
998,-3.655261,57.82657,Spain
999,19.743196,-24.32956,Spain
1000,2.4285989,41.260223,Spain
1001,-40.936916,50.501453,Spain
1002,61.32704,13.752134,Spain
1003,14.07499,66.085365,Spain
1004,-5.4519625,14.0596285,Spain
1005,-10.62225,53.319683,Spain
1006,47.67165,15.671846,Spain
1007,-10.034147,-17.88837,Spain
1008,12.654619,38.55096,Spain
1009,-27.709558,32.85711,Spain
1010,49.85549,4.8517756,Spain
1011,-13.59397,18.653234,Spain
1012,5.965811,53.967678,Spain
1013,-54.47267,9.846137,Spain
1014,-22.813704,28.643026,Spain
1015,4.3714385,24.732655,Spain
1016,-4.3603463,56.36019,Spain
1017,5.725895,71.67131,Spain
1018,-15.617447,45.244095,Spain
1019,10.947717,8.86572,Spain
1020,-47.273636,-8.2268715,Spain
1021,-31.477427,9.922033,Spain
1022,-37.139824,33.749123,Spain
1023,14.591313,77.109215,Spain
1024,7.135962,52.66924,Spain
1025,13.04884,50.201324,Spain
1026,5.3210425,54.435802,Spain
1027,-3.9374332,73.63863,Spain
1028,8.259973,37.622437,Spain
1029,-2.1840086,68.99308,Spain
1030,-6.3464084,54.782005,Spain
1031,-9.837068,26.04814,Spain
1032,-37.95574,-54.460537,Spain
1033,17.685768,-19.922003,Spain
1034,-36.864727,10.683009,Spain
1035,30.73377,6.9923835,Spain
1036,-7.17564,53.09146,Spain
1037,-1.3428013,43.690334,Spain
1038,14.919348,11.084554,Spain
1039,-21.760292,24.215218,Spain
1040,-11.783699,31.681244,Spain
1041,21.687246,-16.87811,Spain
1042,-44.322247,-2.752067,Spain
1043,-51.522892,13.400966,Spain
1044,-28.497688,49.458366,Spain
1045,-30.821674,10.174602,Spain
1046,34.785664,67.60027,Spain
1047,29.320435,66.86505,Spain
1048,6.1481514,7.1691265,Spain
1049,-6.739601,50.718716,Spain
1050,13.218188,69.484474,Spain
1051,33.086315,10.099708,Spain
1052,-31.90646,10.251647,Spain
1053,8.399655,14.312066,Spain
1054,7.867414,35.414665,Spain
1055,-2.2136083,11.636816,Spain
1056,12.987519,8.157529,Spain
1057,15.652476,53.262333,Spain
1058,18.796991,66.33753,Spain
1059,-43.067425,-29.952312,Spain
1060,30.815807,-14.546477,Spain
1061,-50.224575,-13.882218,Spain
1062,6.67246,56.976906,Spain
1063,-5.282076,-3.0457947,Spain
1064,19.24479,66.6653,Spain
1065,47.692364,2.5538926,Spain
1066,-58.105934,7.862435,Spain
1067,-54.297054,12.132763,Spain
1068,10.250913,40.36584,Spain
1069,20.69922,79.84004,Spain
1070,56.302586,50.388763,Spain
1071,48.05981,55.2418,Spain
1072,50.169632,63.026707,Spain
1073,60.596058,41.947544,Spain
1074,33.07149,50.690327,Spain
1075,45.913525,51.119907,Spain
1076,31.703588,54.338608,Spain
1077,16.07829,75.31023,Spain
1078,34.657368,69.40764,Spain
1079,30.132164,68.70432,Spain
1080,30.501463,63.454727,Spain
1081,40.516644,56.88954,Spain
1082,30.350506,63.62079,Spain
1083,53.621086,58.649395,Spain
1084,61.299335,41.530018,Spain
1085,58.363277,46.59047,Spain
1086,14.355568,80.30816,Spain
1087,47.24036,55.73545,Spain
1088,51.756992,47.33053,Spain
1089,56.984985,49.249435,Spain
1090,5.90558,72.38888,Spain
1091,20.857885,70.33074,Spain
1092,27.29507,63.56725,Spain
1093,45.290173,66.6845,Spain
1094,47.58857,55.834404,Spain
1095,13.995726,63.595768,Spain
1096,48.22983,48.203876,Spain
1097,38.170868,66.67458,Spain
1098,18.661716,72.52486,Spain
1099,59.34685,10.760321,Spain
1100,56.575634,14.64574,Spain
1101,54.02839,8.782978,Spain
1102,52.555378,5.9590178,Spain
1103,47.267555,7.644501,Spain
1104,46.427364,0.9334115,Spain
1105,49.67925,2.7904663,Spain
1106,-0.5579326,-53.733795,Spain
1107,15.279007,23.512089,Spain
1108,-39.661396,-31.128258,Spain
1109,-4.415112,-4.768897,Spain
1110,-51.503162,-14.164969,Spain
1111,31.52445,-33.77877,Spain
1112,-40.774704,13.438579,Spain
1113,-17.257668,-20.104473,Spain
1114,-0.7157291,77.638336,Spain
1115,-29.001564,-72.91866,Spain
1116,27.179806,-50.206963,Spain
1117,-22.335724,25.263138,Spain
1118,-24.3527,-2.9570534,Spain
1119,-11.466858,-22.111433,Spain
1120,0.73581576,5.798602,Spain
1121,16.695807,-59.318695,Spain
1122,-11.694578,-67.07337,Spain
1123,12.942249,34.76951,Spain
1124,-4.759233,41.633038,Spain
1125,53.8075,9.926861,Spain
1126,2.356222,-78.63131,Spain
1127,-39.009544,50.596462,Spain
1128,33.310326,-27.517025,Spain
1129,-1.558685,29.089039,Spain
1130,11.188148,47.991486,Spain
1131,60.713364,13.102786,Spain
1132,56.73636,9.8043785,Spain
1133,3.883128,-70.89383,Spain
1134,64.0803,14.986178,Spain
1135,51.477303,17.119724,Spain
1136,47.04477,7.875247,Spain
1137,48.03285,3.1768367,Spain
1138,29.649895,52.084034,Spain
1139,52.735237,7.3583927,Spain
1140,55.73004,6.392627,Spain
1141,-14.893353,-74.95775,Spain
1142,59.278255,10.481839,Spain
1143,56.21016,14.812758,Spain
1144,50.374126,16.856075,Spain
1145,3.7953298,62.034237,Spain
1146,44.844173,1.0363613,Spain
1147,-33.75682,-40.84928,Spain
1148,21.416655,-26.761696,Spain
1149,7.5336213,-9.641738,Spain
1150,40.686592,62.33932,Spain
1151,45.693695,6.476696,Spain
1152,60.092827,16.584057,Spain
1153,25.764536,8.183421,Spain
1154,46.801346,-13.804712,Spain
1155,-26.50031,-64.70588,Spain
1156,-3.8948712,39.899055,Spain
1157,24.271383,-43.46295,Spain
1158,-30.710505,-4.8898325,Spain
1159,-11.894312,16.30564,Spain
1160,6.692909,47.062504,Spain
1161,-22.854345,-50.865025,Spain
1162,-36.836475,43.19985,Spain
1163,-33.131985,35.441658,Spain
1164,-4.7771664,-4.6917424,Spain
1165,13.783181,-1.7748034,Spain
1166,15.555989,-22.503332,Spain
1167,3.353479,-33.63843,Spain
1168,15.788877,11.084776,Spain
1169,-33.95282,39.36477,Spain
1170,23.900652,-23.124916,Spain
1171,-24.02546,-2.7115388,Spain
1172,-40.266655,52.13587,Spain
1173,21.702318,42.63587,Spain
1174,-39.396385,20.605576,Spain
1175,-0.65329367,-58.118187,Spain
1176,30.619379,-14.273163,Spain
1177,15.08579,19.372652,Spain
1178,22.133167,-38.586567,Spain
1179,21.351917,67.47718,Spain
1180,8.996623,56.534584,Spain
1181,24.219307,-44.135147,Spain
1182,50.184013,17.505236,Spain
1183,60.599125,12.176446,Spain
1184,13.038998,10.91515,Spain
1185,-33.288445,34.922928,Spain
1186,17.124575,-17.308098,Spain
1187,-17.02842,40.77623,Spain
1188,-30.158493,52.681007,Spain
1189,40.175423,68.80029,Spain
1190,16.72435,54.887463,Spain
1191,29.589592,-16.938547,Spain
1192,45.24252,9.776937,Spain
1193,16.555405,-2.5416307,Spain
1194,47.086723,9.133574,Spain
1195,-30.052221,-7.3371534,Spain
1196,50.999985,12.02273,Spain
1197,-8.46647,-20.403746,Spain
1198,51.888584,9.673153,Spain
1199,58.6285,14.693801,Spain
1200,60.48509,11.838007,Spain
1201,57.44201,11.66411,Spain
1202,33.154037,-49.112335,Spain
1203,52.19512,12.024445,Spain
1204,55.03538,7.9509425,Spain
1205,57.18927,14.236328,Spain
1206,54.13137,8.747834,Spain
1207,59.559135,15.938005,Spain
1208,56.042213,13.113749,Spain
1209,55.66784,12.8908415,Spain
1210,7.8057823,14.369135,Spain
1211,20.45498,26.606344,Spain
1212,-44.17161,39.377136,Spain
1213,46.612804,58.10417,Spain
1214,-37.31872,29.09459,Spain
1215,8.01507,35.3765,Spain
1216,55.862286,41.698917,Spain
1217,50.899506,3.8790026,Spain
1218,57.319336,10.882108,Spain
1219,58.500526,9.30316,Spain
1220,13.566471,22.99817,Spain
1221,6.3915033,57.01818,Spain
1222,4.7430553,-1.126766,Spain
1223,17.375877,61.29268,Spain
1224,-46.972973,41.598835,Spain
1225,-23.289076,-1.7147236,Spain
1226,6.2625976,46.167267,Spain
1227,31.085382,67.02633,Spain
1228,14.72702,24.865091,Spain
1229,-9.260944,23.407831,Spain
1230,-16.595808,12.190139,Spain
1231,51.16324,46.813602,Spain
1232,-15.237386,-2.6704483,Spain
1233,-10.1682625,22.958307,Spain
1234,-18.852911,24.213953,Spain
1235,4.456663,57.901287,Spain
1236,27.313877,44.889706,Spain
1237,4.003455,13.864052,Spain
1238,-32.90754,-43.71071,Spain
1239,2.0424035,20.894247,Spain
1240,-31.888155,37.676617,Spain
1241,-20.758873,0.94913787,Spain
1242,-0.8374987,8.038409,Spain
1243,24.678333,63.45963,Spain
1244,-20.5232,-55.25559,Spain
1245,-41.50058,8.748469,Spain
1246,-6.5970516,24.65026,Spain
1247,5.314247,39.638546,Spain
1248,49.22054,55.130985,Spain
1249,-8.457933,-10.592183,Spain
1250,-33.54611,-50.36727,Spain
1251,-19.260567,60.561245,Spain
1252,-35.177513,-11.6238365,Spain
1253,-13.4065895,-51.565857,Spain
1254,-2.4636743,26.241152,Spain
1255,-12.410468,11.387994,Spain
1256,6.913581,55.662193,Spain
1257,-9.61692,23.505152,Spain
1258,-37.025665,-54.241776,Spain
1259,-37.420685,-20.877962,Spain
1260,-26.143843,29.611837,Spain
1261,-45.91347,-13.192662,Spain
1262,13.627148,57.466698,Spain
1263,8.415995,-8.602837,Spain
1264,61.161777,40.948154,Spain
1265,46.70234,12.26899,Spain
1266,-9.615422,18.677706,Spain
1267,-27.2705,7.3556795,Spain
1268,7.7884617,46.551624,Spain
1269,10.778646,9.566265,Spain
1270,1.8175381,17.01487,Spain
1271,39.140472,63.77666,Spain
1272,10.458903,-1.948448,Spain
1273,18.22943,61.46879,Spain
1274,57.191044,51.816326,Spain
1275,58.4654,15.058659,Spain
1276,49.99562,15.534103,Spain
1277,54.6132,15.778674,Spain
1278,56.928688,48.031044,Spain
1279,55.57869,15.095422,Spain
1280,2.902656,40.103935,Spain
1281,54.41805,15.725708,Spain
1282,48.963753,47.726078,Spain
1283,29.475166,44.619877,Spain
1284,47.200317,9.293366,Spain
1285,56.061104,6.3125796,Spain
1286,44.755497,10.310293,Spain
1287,47.736637,12.3076,Spain
1288,49.891426,13.19917,Spain
1289,-21.020014,42.29764,Spain
1290,-29.926844,15.687996,Spain
1291,30.093517,56.21536,Spain
1292,5.4557533,45.472534,Spain
1293,50.061344,19.317263,Spain
1294,28.243221,67.23346,Spain
1295,-2.722106,67.713715,Spain
1296,40.073906,68.62766,Spain
1297,32.118298,56.587635,Spain
1298,27.292688,64.220955,Spain
1299,0.36555913,-24.258152,Spain
1300,26.719398,-9.406369,Spain
1301,41.44281,-42.300865,Spain
1302,-2.939055,66.96851,Spain
1303,-15.139591,-27.037714,Spain
1304,24.27162,-32.52229,Spain
1305,34.078598,-41.34416,Spain
1306,10.2674885,-32.86958,Spain
1307,-25.127815,-43.031826,Spain
1308,-27.803259,-57.765175,Spain
1309,-36.781013,-52.63728,Spain
1310,22.37379,-54.709843,Spain
1311,13.310191,-24.948503,Spain
1312,-0.92589605,7.225621,Spain
1313,-5.288373,-47.241512,Spain
1314,-9.258001,-64.277466,Spain
1315,-46.052067,-14.341978,Spain
1316,-34.457508,39.982983,Spain
1317,-17.460371,-33.361217,Spain
1318,25.320854,-41.458225,Spain
1319,-39.645237,4.2153587,Spain
1320,7.6747866,-63.251114,Spain
1321,-31.06906,-22.485888,Spain
1322,-44.396652,3.7371252,Spain
1323,-28.876034,33.196396,Spain
1324,33.173107,-43.476753,Spain
1325,-2.3792171,70.18114,Spain
1326,36.601143,-17.870543,Spain
1327,30.32683,4.4768987,Spain
1328,62.467278,39.08923,Spain
1329,-7.659449,76.254845,Spain
1330,-1.6004337,67.92515,Spain
1331,-42.20859,-15.7333,Spain
1332,11.753446,2.7936237,Spain
1333,-13.219801,30.670603,Spain
1334,-59.51073,-19.20203,Spain
1335,20.913204,-53.769966,Spain
1336,5.1300073,-2.377053,Spain
1337,-27.006927,32.1487,Spain
1338,25.411514,45.59063,Spain
1339,16.746458,-24.227617,Spain
1340,-9.10576,-20.651419,Spain
1341,18.75836,-41.27036,Spain
1342,-41.95221,-6.696618,Spain
1343,-57.7484,4.9100127,Spain
1344,51.97407,55.2399,Spain
1345,33.099194,-53.517414,Spain
1346,-10.66165,17.636835,Spain
1347,17.486689,-23.06298,Spain
1348,-9.554438,27.823278,Spain
1349,3.9485102,39.200443,Spain
1350,-43.293884,27.989923,Spain
1351,-7.4160533,13.574142,Spain
1352,-37.86608,-16.115538,Spain
1353,-19.00271,60.571842,Spain
1354,-1.0202074,-71.16303,Spain
1355,-8.543068,-17.862268,Spain
1356,-32.574123,27.889645,Spain
1357,7.0316663,43.638786,Spain
1358,21.76668,-43.094124,Spain
1359,7.0024266,9.554404,Spain
1360,-38.872967,50.33861,Spain
1361,6.8929996,0.22561376,Spain
1362,-10.794052,-47.25108,Spain
1363,20.169182,75.70473,Spain
1364,24.477123,-27.41999,Spain
1365,-7.943009,-23.845625,Spain
1366,26.320404,63.34795,Spain
1367,-7.8763957,28.200052,Spain
1368,-10.848631,56.632843,Spain
1369,12.781539,38.03308,Spain
1370,-11.332729,23.573807,Spain
1371,3.4629745,-2.0110867,Spain
1372,21.849817,61.466274,Spain
1373,32.04697,-60.378254,Spain
1374,9.923378,60.363068,Spain
1375,-10.996672,47.01251,Spain
1376,6.64863,40.809086,Spain
1377,0.035470985,68.478584,Spain
1378,18.77418,-48.401497,Spain
1379,-14.719611,3.9547026,Spain
1380,0.33551037,30.801102,Spain
1381,-10.477019,-52.33083,Spain
1382,-42.444332,11.17843,Spain
1383,4.197126,-71.91016,Spain
1384,-25.083706,-48.861996,Spain
1385,25.275492,-34.416233,Spain
1386,-2.6728983,9.807982,Spain
1387,14.603039,8.464558,Spain
1388,8.443788,33.74286,Spain
1389,-8.124285,12.077961,Spain
1390,-43.639328,-22.615156,Spain
1391,-34.53115,-53.50875,Spain
1392,22.713219,-16.615822,Spain
1393,-5.934993,13.651784,Spain
1394,-2.6632972,-43.284424,Spain
1395,-4.888438,-47.572536,Spain
1396,-17.887356,42.227577,Spain
1397,22.389473,-50.677,Spain
1398,25.616344,-19.334423,Spain
1399,-21.257145,16.343546,Spain
1400,-34.401115,-54.723927,Spain
1401,-11.491082,25.694122,Spain
1402,-7.8753104,64.62585,Spain
1403,7.3947506,51.078007,Spain
1404,-25.84554,12.1880045,Spain
1405,-17.56093,-5.9904113,Spain
1406,-16.268425,-4.191666,Spain
1407,-41.45574,16.378141,Spain
1408,11.588629,-29.065758,Spain
1409,14.761558,-32.391594,Spain
1410,14.589122,61.8271,Spain
1411,-21.510351,-54.083626,Spain
1412,14.304616,63.598194,Spain
1413,44.409885,50.909546,Spain
1414,26.35276,-7.005317,Spain
1415,0.6054245,-1.5627501,Spain
1416,23.712156,-17.24855,Spain
1417,-11.911699,-31.011723,Spain
1418,-21.019241,-5.7930026,Spain
1419,-24.026108,26.366074,Spain
1420,25.26749,-31.7698,Spain
1421,1.148378,-11.592354,Spain
1422,3.5311885,4.005069,Spain
1423,-46.94909,-20.283077,Spain
1424,-4.434395,43.312214,Spain
1425,-45.401558,18.196136,Spain
1426,-9.0762825,-36.72695,Spain
1427,-21.097513,14.497913,Spain
1428,-11.624357,-66.641655,Spain
1429,8.947998,-8.7742,Spain
1430,-43.893826,2.740536,Spain
1431,-36.864944,45.14392,Spain
1432,13.744934,-10.30252,Spain
1433,-0.7739693,9.043405,Spain
1434,-13.659361,-19.194818,Spain
1435,-42.094154,19.050402,Spain
1436,-19.731455,-20.04473,Spain
1437,-17.39621,-34.58304,Spain
1438,-29.51341,-56.320454,Spain
1439,-13.306619,41.28679,Spain
1440,-30.66177,-57.798218,Spain
1441,-18.156967,-26.873474,Spain
1442,32.747063,-28.050022,Spain
1443,41.699505,-23.776432,Spain
1444,-54.259155,-18.607788,Spain
1445,2.8440006,-1.6636708,Spain
1446,-4.3556476,40.197815,Spain
1447,-58.247585,-13.936886,Spain
1448,11.161148,37.16131,Spain
1449,26.689302,-7.231077,Spain
1450,-43.495396,18.848864,Spain
1451,29.926296,-17.80989,Spain
1452,33.073303,-46.700985,Spain
1453,26.105898,-28.098564,Spain
1454,26.24553,-55.91137,Spain
1455,-33.082584,-19.082922,Spain
1456,-19.06978,-58.41185,Spain
1457,2.7750137,-48.44708,Spain
1458,7.266681,2.003261,Spain
1459,-2.909474,-9.892565,Spain
1460,16.805943,-7.9696865,Spain
1461,-31.4687,-69.31753,Spain
1462,8.6012535,-1.820869,Spain
1463,-11.739966,-45.368008,Spain
1464,-29.126627,5.403842,Spain
1465,13.630957,36.715004,Spain
1466,23.993795,-13.61152,Spain
1467,11.179968,-28.200434,Spain
1468,-20.410828,40.98504,Spain
1469,28.188318,6.589799,Spain
1470,29.066801,-21.701763,Spain
1471,17.321957,18.087782,Spain
1472,4.2436604,-33.27939,Spain
1473,10.706069,34.651615,Spain
1474,8.724624,-2.262601,Spain
1475,35.944252,-55.027813,Spain
1476,-27.416887,40.855137,Spain
1477,-26.060694,-24.45606,Spain
1478,-7.1526723,-53.01731,Spain
1479,-23.52303,-24.933191,Spain
1480,-22.65036,-25.616928,Spain
1481,-6.0861425,-33.258934,Spain
1482,11.244264,35.950596,Spain
1483,1.1739669,-71.04007,Spain
1484,3.9827032,26.034548,Spain
1485,16.332424,59.592785,Spain
1486,6.699557,-2.5267134,Spain
1487,-13.397531,14.591003,Spain
1488,-2.1469223,70.91296,Spain
1489,26.70602,63.583725,Spain
1490,9.696229,10.742665,Spain
1491,-26.529106,33.10005,Spain
1492,10.862702,2.6485293,Spain
1493,-19.80825,40.79847,Spain
1494,19.252647,-43.733498,Spain
1495,-12.478981,-43.097996,Spain
