,tSNE1,tSNE2,dataset
3074,13.94632,-10.483072,UK
3075,-26.790092,-57.448547,UK
3076,-7.077566,38.269974,UK
3077,-43.795956,9.73427,UK
3078,-36.577755,-16.542364,UK
3079,43.651707,-3.1455002,UK
3080,-38.205456,35.659466,UK
3081,-12.768023,-66.812874,UK
3082,-10.771343,27.699512,UK
3083,-4.483986,59.019466,UK
3084,-19.469837,-49.445015,UK
3085,-54.432064,-7.7029753,UK
3086,-23.11147,-40.298775,UK
3087,-23.174583,34.441776,UK
3088,-23.206387,42.22242,UK
3089,16.520952,60.153828,UK
3090,10.0282345,31.040634,UK
3091,-16.6166,-72.24769,UK
3092,11.860332,-33.16303,UK
3093,-18.31251,15.709793,UK
3094,-15.684952,-34.19349,UK
3095,36.764977,-20.266344,UK
3096,-42.876595,-24.279673,UK
3097,-17.75364,-32.810127,UK
3098,-41.415695,-21.71837,UK
3099,-25.18871,-61.493183,UK
3100,-33.178787,13.112144,UK
3101,35.11196,-2.3949695,UK
3102,60.389843,14.888228,UK
3103,-5.892224,-33.7938,UK
3104,7.1862183,51.986553,UK
3105,56.16506,7.1885805,UK
3106,-58.40675,-14.922236,UK
3107,-27.616545,-46.681946,UK
3108,45.38561,56.579765,UK
3109,18.375885,-4.1655693,UK
3110,14.338346,9.954638,UK
3111,33.525208,-15.531838,UK
3112,59.179302,47.400173,UK
3113,-30.653316,-56.61962,UK
3114,-29.244997,-57.177265,UK
3115,-16.187685,3.2948616,UK
3116,-21.708208,28.783499,UK
3117,43.945797,-7.635567,UK
3118,62.010456,14.504969,UK
3119,2.7410684,73.22233,UK
3120,-58.30444,4.0766187,UK
3121,-22.691069,42.365925,UK
3122,40.73394,-3.1218774,UK
3123,48.805252,57.04779,UK
3124,-6.3415747,-43.266434,UK
3125,-24.422518,-0.8568046,UK
3126,-52.38446,-10.165772,UK
3127,-9.476976,-63.27172,UK
3128,-28.611847,-43.71691,UK
3129,0.0022953458,-76.01492,UK
3130,2.911522,71.875916,UK
3131,-37.578167,-67.836754,UK
3132,-8.8225155,30.016563,UK
3133,-39.828552,-64.08954,UK
3134,3.2933567,-45.19078,UK
3135,8.000352,47.186863,UK
3136,8.79018,-46.645782,UK
3137,6.67368,-67.043594,UK
3138,-8.132551,52.086304,UK
3139,1.9361216,-12.648041,UK
3140,-10.26869,-65.23766,UK
3141,-26.385971,29.410545,UK
3142,-46.196613,5.304175,UK
3143,-49.643166,-0.32820028,UK
3144,-19.173454,-32.675034,UK
3145,-17.510757,40.902744,UK
3146,-46.010857,2.8925598,UK
3147,14.853242,62.659565,UK
3148,-28.77115,12.822058,UK
3149,-44.90488,-12.971223,UK
3150,-22.990635,-23.957136,UK
3151,-9.571975,70.67863,UK
3152,28.280918,-50.12084,UK
3153,-57.77237,5.1868978,UK
3154,-19.641752,-76.59766,UK
3155,57.06546,14.347998,UK
3156,-30.553417,-72.99746,UK
3157,47.05873,61.00486,UK
3158,-56.79622,11.843221,UK
3159,14.65448,23.464514,UK
3160,24.998896,10.8918495,UK
3161,-2.306515,27.330414,UK
3162,0.71629864,-57.062195,UK
3163,-45.988056,40.53374,UK
3164,9.080216,-12.541279,UK
3165,25.372486,26.094738,UK
3166,-37.198875,-60.09462,UK
3167,34.525803,-14.725211,UK
3168,46.812836,0.1913667,UK
3169,9.064331,4.336999,UK
3170,62.003075,14.369466,UK
3171,-37.7838,-62.917133,UK
3172,-28.665737,-72.16104,UK
3173,53.737293,59.572342,UK
3174,-28.290226,49.550205,UK
3175,-37.63798,3.9159973,UK
3176,9.125806,71.11033,UK
3177,-56.040195,-14.527029,UK
3178,-24.482285,36.351593,UK
3179,28.284315,-7.862108,UK
3180,-34.486115,-16.99648,UK
3181,42.482822,-25.458885,UK
3182,-0.058497246,-75.01299,UK
3183,28.23055,-35.63921,UK
3184,58.8555,40.180897,UK
3185,42.581844,7.365684,UK
3186,-43.835804,-6.7824516,UK
3187,-24.923702,-40.457653,UK
3188,11.492815,20.49414,UK
3189,-11.584827,-49.459396,UK
3190,-23.199123,-43.04883,UK
3191,40.586178,-0.007744628,UK
3192,-37.125317,-68.32749,UK
3193,2.6960418,-73.14374,UK
3194,-21.26004,16.316992,UK
3195,-45.601624,-11.657141,UK
3196,-37.900864,-56.12245,UK
3197,18.06026,78.49155,UK
3198,18.18077,-3.4314198,UK
3199,43.169037,10.730824,UK
3200,-29.948309,-42.480232,UK
3201,44.982456,10.197575,UK
3202,-57.030796,-15.976097,UK
3203,14.730919,-49.807022,UK
3204,8.145442,-54.773136,UK
3205,30.854687,57.881935,UK
3206,-36.053616,43.989555,UK
