,tSNE1,tSNE2,dataset
2632,-32.18066,15.196366,USA1
2633,-13.812491,16.928257,USA1
2634,21.503107,72.14186,USA1
2635,18.494883,-18.338593,USA1
2636,-35.98398,-68.630646,USA1
2637,-3.194987,57.32365,USA1
2638,-56.55179,7.8727083,USA1
2639,-9.185191,67.10427,USA1
2640,-24.024792,-39.426685,USA1
2641,-27.10364,-47.93311,USA1
2642,-19.363611,-76.05571,USA1
2643,-2.1420996,-74.49117,USA1
2644,-19.9434,-69.593575,USA1
2645,-20.176298,-59.38109,USA1
2646,-34.010696,-59.63772,USA1
2647,-31.475302,2.7815568,USA1
2648,-38.018692,-63.030575,USA1
2649,17.426575,-42.12397,USA1
2650,-18.327517,0.8934476,USA1
2651,-37.963593,45.937668,USA1
2652,27.97608,-58.98604,USA1
2653,-26.08261,-41.261883,USA1
2654,-31.249443,-21.259897,USA1
2655,4.9065003,-42.216946,USA1
2656,-14.798159,-50.846294,USA1
2657,-15.625718,-35.664818,USA1
2658,-6.6360326,-1.3300105,USA1
2659,-26.417604,-66.58084,USA1
2660,-16.890041,-28.019093,USA1
2661,-11.641453,30.498295,USA1
2662,-51.39071,-15.263621,USA1
2663,-30.303926,4.33288,USA1
2664,-55.560307,-12.676519,USA1
2665,14.730461,-30.619322,USA1
2666,14.0529375,75.098564,USA1
2667,-37.299248,-54.587627,USA1
2668,-14.275205,-74.3549,USA1
2669,-34.048016,-66.50752,USA1
2670,-52.353928,4.8895993,USA1
2671,-0.55096215,-73.77198,USA1
2672,-47.836586,13.291158,USA1
2673,-10.281386,-63.50589,USA1
2674,37.81283,-57.986732,USA1
2675,-46.460777,-22.159676,USA1
2676,-41.25187,-7.335968,USA1
2677,8.790357,41.770954,USA1
2678,17.695148,-19.757652,USA1
2679,-3.1352956,8.969309,USA1
2680,13.309277,-32.91647,USA1
2681,-6.7421017,-38.298725,USA1
2682,29.589426,63.436497,USA1
2683,3.6672478,-32.31478,USA1
2684,-19.832302,-59.949776,USA1
2685,-32.848316,27.495586,USA1
2686,-30.842493,14.2471285,USA1
2687,1.0463185,-76.16949,USA1
2688,32.071117,-34.412926,USA1
2689,1.6356156,-38.49183,USA1
2690,2.5744283,73.228424,USA1
2691,8.304412,60.898403,USA1
2692,8.304419,60.898434,USA1
2693,-19.271803,4.8483095,USA1
2694,-21.90356,-1.1175287,USA1
2695,-8.998109,-52.254116,USA1
2696,17.166338,62.455635,USA1
2697,13.701055,63.036987,USA1
2698,-33.249622,-41.76483,USA1
2699,-32.72163,27.17928,USA1
2700,17.11699,-59.793808,USA1
2701,-27.154072,37.165012,USA1
2702,-13.831674,-36.311485,USA1
2703,-21.229467,-18.183275,USA1
2704,22.681108,-53.256397,USA1
2705,-34.486237,8.253176,USA1
2706,-37.430737,31.882236,USA1
2707,-16.924076,-68.34114,USA1
2708,-16.92405,-68.341125,USA1
2709,-29.223269,-53.643368,USA1
2710,-3.135428,-14.647922,USA1
2711,-20.958645,-76.21003,USA1
2712,25.436731,-36.324387,USA1
2713,-13.337978,-19.815113,USA1
2714,-28.725286,-73.45964,USA1
2715,22.053078,-39.53547,USA1
2716,-26.934881,7.4497976,USA1
2717,-31.071215,3.911974,USA1
2718,-37.82942,29.165941,USA1
2719,-37.46431,-24.54024,USA1
2720,15.600592,-30.62918,USA1
2721,5.2870517,-38.0202,USA1
2722,39.46999,66.81915,USA1
2723,-37.525738,-66.50019,USA1
2724,-35.28838,-60.67708,USA1
2725,6.337537,-33.663937,USA1
2726,-16.157644,-67.23653,USA1
2727,17.112501,-59.964996,USA1
2728,-28.025839,15.499059,USA1
2729,-27.188015,-73.41371,USA1
2730,-27.06692,-71.56577,USA1
2731,-34.54699,-60.940098,USA1
2732,-17.237024,-7.100949,USA1
2733,-17.237001,-7.100971,USA1
2734,-0.7095781,70.650085,USA1
2735,-10.666829,-62.948666,USA1
2736,-2.2762172,9.138251,USA1
2737,-4.7713,-42.708958,USA1
2738,-30.026339,-10.675922,USA1
2739,-19.713379,-68.33685,USA1
2740,-46.26438,-20.967112,USA1
2741,-40.489983,29.067564,USA1
2742,-39.652725,-21.853537,USA1
2743,11.293995,-27.84006,USA1
2744,-21.005392,23.08145,USA1
2745,45.663578,66.976974,USA1
2746,-16.94761,-35.29578,USA1
2747,16.16119,-63.41113,USA1
2748,19.972876,-63.24166,USA1
